[2026-04-06T04:06:27.044Z] GET http://localhost:3000/templates/01-purchase-order.html → 200 (339ms, 22227B)
[2026-04-06T04:06:27.389Z] GET http://localhost:3000/@vite/client → 200 (17ms, 182535B)
[2026-04-06T04:06:27.389Z] GET http://localhost:3000/template-base.css → 200 (15ms, 4215B)
[2026-04-06T04:06:27.389Z] GET http://localhost:3000/dist/printform.js → 200 (50ms, 102958B)
[2026-04-06T04:06:27.389Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 200 (208ms, ?B)
[2026-04-06T04:06:27.389Z] GET http://localhost:3000/template-base.js → 200 (199ms, 19634B)
[2026-04-06T04:06:27.438Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 200 (152ms, 3861B)
[2026-04-06T04:08:43.112Z] GET http://localhost:3000/templates/01-purchase-order.html → 200 (346ms, 22227B)
[2026-04-06T04:08:43.467Z] GET http://localhost:3000/@vite/client → 200 (44ms, 182535B)
[2026-04-06T04:08:43.467Z] GET http://localhost:3000/template-base.css → 200 (47ms, 4215B)
[2026-04-06T04:08:43.467Z] GET http://localhost:3000/dist/printform.js → 200 (61ms, 102958B)
[2026-04-06T04:08:43.467Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → pending (?ms, ?B)
[2026-04-06T04:08:43.468Z] GET http://localhost:3000/template-base.js → pending (?ms, ?B)
[2026-04-06T04:08:43.512Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → pending (?ms, ?B)
[2026-04-06T04:22:07.948Z] GET http://localhost:3000/templates/01-purchase-order.html → pending (?ms, ?B)
[2026-04-06T04:22:08.272Z] GET http://localhost:3000/@vite/client → 200 (12ms, 182551B)
[2026-04-06T04:22:08.272Z] GET http://localhost:3000/template-base.css → 200 (10ms, 4215B)
[2026-04-06T04:22:08.272Z] GET http://localhost:3000/dist/printform.js → pending (?ms, ?B)
[2026-04-06T04:22:08.272Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → pending (?ms, ?B)
[2026-04-06T04:22:08.272Z] GET http://localhost:3000/template-base.js → pending (?ms, ?B)
[2026-04-06T04:22:08.289Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → pending (?ms, ?B)
[2026-04-06T04:24:15.836Z] GET http://localhost:3000/templates/01-purchase-order.html → pending (?ms, ?B)
[2026-04-06T04:24:16.162Z] GET http://localhost:3000/@vite/client → 200 (11ms, 182551B)
[2026-04-06T04:24:16.162Z] GET http://localhost:3000/template-base.css → 200 (4ms, 4215B)
[2026-04-06T04:24:16.162Z] GET http://localhost:3000/dist/printform.js → 200 (17ms, 102958B)
[2026-04-06T04:24:16.162Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (11ms, ?B)
[2026-04-06T04:24:16.163Z] GET http://localhost:3000/template-base.js → 304 (11ms, ?B)
[2026-04-06T04:24:16.174Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 200 (6ms, 3861B)
[2026-04-06T04:24:16.694Z] GET http://localhost:3000/templates/02-delivery-order.html → 200 (10ms, 19292B)
[2026-04-06T04:24:16.712Z] GET http://localhost:3000/@vite/client → 304 (29ms, ?B)
[2026-04-06T04:24:16.712Z] GET http://localhost:3000/template-base.css → 304 (1ms, ?B)
[2026-04-06T04:24:16.712Z] GET http://localhost:3000/dist/printform.js → 200 (34ms, 102958B)
[2026-04-06T04:24:16.712Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (33ms, ?B)
[2026-04-06T04:24:16.712Z] GET http://localhost:3000/template-base.js → 304 (33ms, ?B)
[2026-04-06T04:24:16.746Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (19ms, ?B)
[2026-04-06T04:24:17.165Z] GET http://localhost:3000/templates/03-sales-order.html → 200 (24ms, 62026B)
[2026-04-06T04:24:17.198Z] GET http://localhost:3000/@vite/client → 304 (18ms, ?B)
[2026-04-06T04:24:17.198Z] GET http://localhost:3000/template-base.css → 304 (2ms, ?B)
[2026-04-06T04:24:17.199Z] GET http://localhost:3000/dist/printform.js → 200 (20ms, 102958B)
[2026-04-06T04:24:17.199Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (19ms, ?B)
[2026-04-06T04:24:17.199Z] GET http://localhost:3000/template-base.js → 304 (20ms, ?B)
[2026-04-06T04:24:17.222Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (14ms, ?B)
[2026-04-06T04:24:17.801Z] GET http://localhost:3000/templates/04-quotation.html → 200 (13ms, 34776B)
[2026-04-06T04:24:17.822Z] GET http://localhost:3000/@vite/client → 304 (2ms, ?B)
[2026-04-06T04:24:17.823Z] GET http://localhost:3000/template-base.css → 304 (2ms, ?B)
[2026-04-06T04:24:17.823Z] GET http://localhost:3000/dist/printform.js → 200 (49ms, 102958B)
[2026-04-06T04:24:17.823Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (3ms, ?B)
[2026-04-06T04:24:17.823Z] GET http://localhost:3000/template-base.js → 304 (4ms, ?B)
[2026-04-06T04:24:17.826Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (3ms, ?B)
[2026-04-06T04:24:18.442Z] GET http://localhost:3000/templates/05-commercial-invoice.html → 200 (15ms, 32311B)
[2026-04-06T04:24:18.464Z] GET http://localhost:3000/@vite/client → 304 (2ms, ?B)
[2026-04-06T04:24:18.464Z] GET http://localhost:3000/template-base.css → 304 (2ms, ?B)
[2026-04-06T04:24:18.464Z] GET http://localhost:3000/dist/printform.js → 200 (16ms, 102958B)
[2026-04-06T04:24:18.464Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (14ms, ?B)
[2026-04-06T04:24:18.464Z] GET http://localhost:3000/template-base.js → 304 (15ms, ?B)
[2026-04-06T04:24:18.479Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (15ms, ?B)
[2026-04-06T04:24:18.970Z] GET http://localhost:3000/templates/06-tax-invoice.html → 200 (10ms, ?B)
[2026-04-06T04:24:18.987Z] GET http://localhost:3000/@vite/client → 304 (4ms, ?B)
[2026-04-06T04:24:18.987Z] GET http://localhost:3000/template-base.css → 304 (2ms, ?B)
[2026-04-06T04:24:18.987Z] GET http://localhost:3000/dist/printform.js → 200 (7ms, ?B)
[2026-04-06T04:24:18.987Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (4ms, ?B)
[2026-04-06T04:24:18.987Z] GET http://localhost:3000/template-base.js → 304 (5ms, ?B)
[2026-04-06T04:24:18.993Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (1ms, ?B)
[2026-04-06T04:24:19.502Z] GET http://localhost:3000/templates/07-credit-note.html → 200 (5ms, 6330B)
[2026-04-06T04:24:19.517Z] GET http://localhost:3000/@vite/client → 304 (3ms, ?B)
[2026-04-06T04:24:19.517Z] GET http://localhost:3000/template-base.css → 304 (2ms, ?B)
[2026-04-06T04:24:19.517Z] GET http://localhost:3000/dist/printform.js → 200 (14ms, 102958B)
[2026-04-06T04:24:19.518Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (2ms, ?B)
[2026-04-06T04:24:19.518Z] GET http://localhost:3000/template-base.js → 304 (12ms, ?B)
[2026-04-06T04:24:19.531Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (16ms, ?B)
[2026-04-06T04:24:19.924Z] GET http://localhost:3000/templates/08-debit-note.html → 200 (15ms, 8209B)
[2026-04-06T04:24:19.940Z] GET http://localhost:3000/@vite/client → 304 (5ms, ?B)
[2026-04-06T04:24:19.940Z] GET http://localhost:3000/template-base.css → 304 (5ms, ?B)
[2026-04-06T04:24:19.940Z] GET http://localhost:3000/dist/printform.js → 200 (21ms, 102958B)
[2026-04-06T04:24:19.940Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (3ms, ?B)
